No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
123	icons_launcher	A command-line tool that simplifies the task of updating your Flutter app's launcher icon.	2.0.6	94.49887289752037	208	48	5	3	mrrhak	mrrhak.com	MIT	2022-11-12T11:57:12.000Z	https://github.com/mrrhak/icons_launcher
124	shamsi_date	A Flutter and Dart package for using Jalali (Shamsi, Solar, Persian or Jalaali) calendar. You can convert, format and manipulate Jalali and Gregorian (Miladi) date and times.	1.0.1	94.18241720131785	144	63	7	2	FatulM		BSD-3-Clause	2022-11-15T13:28:51.000Z	https://github.com/FatulM/shamsi_date
125	kt_dart	This project is a port of kotlin-stdlib for Dart/Flutter projects. It includes collections (KtList, KtMap, KtSet) with 150+ methods as well as other useful packages.	1.0.0	94.0523669152072	149	458	28	6	passsy	pascalwelsch.com	Apache-2.0	2022-10-05T20:22:02.000Z	https://github.com/passsy/kt.dart
126	simple_logger	Provides super simple APIs for logging. The log also includes caller info by setting includeCallerInfo to true. On Android Studio, jump to called location by clicking the log.	1.9.0+1	93.93965666724466	77	50	7	1	mono0926	mono0926.com	MIT	2022-11-14T06:42:28.000Z	https://github.com/mono0926/simple_logger
127	credit_card_type_detector	A package that detects credit card types based on the current credit card number patterns	2.0.0	93.90064158141148	52	23	10	0	cholojuanito		MIT	2022-11-01T17:54:23.000Z	https://github.com/cholojuanito/credit_card_type_detector
128	numeral	A Dart library for Format number into beautiful string, Format the number into a beautiful, readable and short string.	2.0.1	93.82261140974511	43	8	5	0	medz	odroe.com	MIT	2022-07-21T17:15:35.000Z	https://github.com/medz/numeral.dart
129	import_sorter	Automatically organize your dart imports	4.6.0	93.81394139067106	231	138	27	19	fluttercommunity	fluttercommunity.dev	MIT	2022-10-31T06:06:51.000Z	https://github.com/fluttercommunity/import_sorter
130	amplify_core	The base package containing common types and utilities that are shared across the Amplify Flutter packages.	0.6.10	93.78359632391191	36	1128	176	198	aws-amplify	aws-amplify.com	Apache-2.0	2022-12-22T02:27:29.000Z	https://github.com/aws-amplify/amplify-flutter
131	pausable_timer	A timer implementation that can be paused, resumed and reset.	1.0.0+6	93.68389110456043	51	17	5	2	llucax	llucax.com	BSD-3-Clause	2022-09-02T20:58:21.000Z	https://github.com/llucax/pausable_timer
132	effective_dart	Linter rules corresponding to the guidelines in Effective Dart.	1.3.2	93.67088607594937	127	127	28	0	tenhobi	tenhobi.dev	MIT	2021-06-20T16:27:20.000Z	https://github.com/tenhobi/effective_dart
133	eventify	A cancellable event emitter which supports context based event driven programming. 	1.0.1	93.56251083752383	33	11	4	0	iMeshAcademy		NOASSERTION	2022-06-16T04:22:31.000Z	https://github.com/iMeshAcademy/EventEmitter
