No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit
61	shelf_packages_handler	A shelf handler for serving a `packages/` directory.	3.0.1	99.31088285008451	2	3	4	0	dart-archive	tools.dart.dev	BSD-3-Clause	2022-05-09T20:49:46.000Z
62	tuple	A library providing a tuple data structure.	2.0.1	99.302214709834	356	171	27	11	google	google.dev	BSD-2-Clause	2022-10-06T20:21:52.000Z
63	matcher	Support for specifying test expectations via an extensible Matcher class. Also includes a number of built-in Matcher implementations for common cases.	0.12.14	99.29788063970875	28	53	32	27	dart-lang	dart.dev	BSD-3-Clause	2022-12-13T19:01:10.000Z
64	flutter_image_compress	Compress image with native (Objective-C/Kotlin) with faster speed. Support Android/iOS.	1.1.3	99.2935465695835	815	505	132	60	fluttercandies		MIT	2022-09-22T08:48:55.000Z
65	source_map_stack_trace	A package for applying source maps to stack traces.	2.1.1	99.28487842933299	5	5	7	0	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-18T18:16:18.000Z
66	sync_http	Synchronous HTTP client for Dart.	0.3.1	99.28054435920774	4	10	14	5	google	google.dev	BSD-3-Clause	2022-12-02T18:53:11.000Z
67	webdriver	Provides WebDriver bindings for Dart. Supports WebDriver JSON interface and W3C spec. Requires the use of WebDriver remote server.	3.0.1	99.26754214883196	29	121	59	23	google	google.dev	Apache-2.0	2022-12-15T01:13:15.000Z
68	wakelock	Plugin that allows you to keep the device screen awake, i.e. prevent the screen from sleeping on Android, iOS, macOS, Windows, and web.	0.6.2	99.26320807870671	1120	336	57	7	creativecreatorormaybenot	creativemaybeno.dev	BSD-3-Clause	2022-09-13T04:03:51.000Z
69	dropdown_search	Simple and robust Searchable Dropdown with item search feature, making it possible to use an offline item list or filtering URL for easy customization.	5.0.5	99.2545399384562	1183	239	219	11	salim-lachdhaf	salimdev.ovh	MIT	2022-12-05T08:46:47.000Z
70	boolean_selector	A flexible syntax for boolean expressions, based on a simplified version of Dart's expression syntax.	2.1.1	99.24153772808044	9	15	12	1	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-10T17:41:56.000Z
71	json_rpc_2	Utilities to write a client or server using the JSON-RPC 2.0 spec.	3.0.2	99.21119923720366	56	63	33	6	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:47:44.000Z
72	flutter_keyboard_visibility	Flutter plugin for discovering the state of the soft-keyboard visibility on Android and iOS.	5.4.0	99.20253109695315	556	300	61	17	MisterJimson	jasonrai.ca	MIT	2022-12-08T13:51:05.000Z
73	shelf_proxy	A shelf handler for proxying HTTP requests to another server.	1.0.2	99.19386295670265	49	24	15	10	dart-archive	tools.dart.dev	BSD-3-Clause	2022-05-09T20:50:00.000Z
74	completion	A package to add shell command completion to your Dart application	1.0.1	99.18519481645212	25	53	11	1	kevmoo	j832.com	BSD-3-Clause	2022-12-14T20:13:37.000Z
75	fake_async	Fake asynchronous events such as timers and microtasks for deterministic testing.	1.3.1	99.18086074632687	48	68	13	5	dart-lang	dart.dev	Apache-2.0	2022-11-09T23:22:10.000Z
76	browser_launcher	Provides a standardized way to launch web browsers for testing and tools.	1.1.1	99.1591903957006	5	10	9	2	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-13T18:32:41.000Z
77	sse	Provides client and server functionality for setting up bi-directional communication through Server Sent Events (SSE) and corresponding POST requests.	4.1.2	99.15485632557535	24	49	18	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-14T21:03:50.000Z
78	sentry_flutter	Sentry SDK for Flutter. This package aims to support different Flutter targets by relying on the many platforms supported by Sentry with native SDKs.	6.18.1	99.14618818532483	495	600	159	78	getsentry	sentry.io	MIT	2022-12-17T03:02:13.000Z
79	usage	A Google Analytics wrapper for command-line, web, and Flutter apps.	4.1.0	99.14185411519958	58	139	48	15	dart-lang	tools.dart.dev	BSD-3-Clause	2022-10-20T20:09:59.000Z
80	pdf	A pdf producer for Dart. It can create pdf files for both web or flutter.	3.8.4	99.12885190482382	1744	949	370	117	DavBfr	nfet.net	Apache-2.0	2022-12-06T09:29:55.000Z
81	ffi	Utilities for working with Foreign Function Interface (FFI) code.	2.0.1	99.12018376457331	161	125	28	20	dart-lang	dart.dev	BSD-3-Clause	2022-11-21T11:11:52.000Z
82	internet_connection_checker	A pure Dart library that checks for internet by opening a socket to a list of specified addresses, each with individual port and timeout. Defaults are provided for convenience.	1.0.0+1	99.11584969444806	614	61	16	14	RounakTadvi		NOASSERTION	2022-09-22T10:54:54.000Z
83	vector_math	A Vector Math library for 2D and 3D applications.	2.1.4	99.10718155419754	197	259	77	19	google	google.dev	NOASSERTION	2022-11-01T09:39:33.000Z
84	pinput	Pin code input (OTP) text field, iOS SMS autofill, Android SMS autofill One Time Code, Password, Passcode, Captcha, Security, Coupon, Wowcher, 2FA, Two step verification	2.2.16	99.09851341394705	1295	447	110	5	Tkko	fman.ge	MIT	2022-10-07T08:18:37.000Z
85	youtube_player_flutter	Flutter plugin for playing or streaming inline YouTube videos using the official iFrame player API. This plugin supports both Android and iOS.	8.1.1	99.08984527369653	1045	555	563	311	sarbagyastha	sarbagyastha.com.np	BSD-3-Clause	2022-12-12T15:34:31.000Z
86	flutter_downloader	Powerful plugin making it easy to download files.	1.9.1	99.08551120357127	1050	782	426	270	fluttercommunity	fluttercommunity.dev	BSD-3-Clause	2022-12-17T18:49:53.000Z
87	timezone	Time zone database and time zone aware DateTime.	0.9.0	99.06817492307025	240	76	38	31	srawlins		BSD-2-Clause	2022-11-07T12:23:11.000Z
88	flutter_hooks	A flutter implementation of React hooks. It adds a new kind of widget with enhanced code reuse.	0.18.5+1	99.05950678281975	1522	2553	147	29	rrousselGit	dash-overflow.net	MIT	2022-07-20T09:57:15.000Z
89	quiver	Quiver is a set of utility libraries for Dart that makes using many Dart libraries easier and more convenient, or adds additional functionality.	3.1.0	99.0161660815672	409	901	140	50	google	google.dev	Apache-2.0	2022-12-09T17:16:25.000Z
90	flutter_map	A versatile mapping package for Flutter, based off leaflet.js, that's simple and easy to learn, yet completely customizable and configurable.	3.0.0	98.98582759069042	1104	2231	711	25	fleaflet	fleaflet.dev	BSD-3-Clause	2022-12-11T21:07:27.000Z
91	jiffy	Jiffy is a date dart package inspired by momentjs for parsing, manipulating and formatting dates	5.0.0	98.98149352056517	569	401	78	32	jama5262		MIT	2022-11-02T17:46:17.000Z
92	hooks_riverpod	A simple way to access state from anywhere in your application while robust and testable.	2.1.1	98.93381874918737	554	3837	617	104	rrousselGit	dash-overflow.net	MIT	2022-12-17T20:19:05.000Z
93	win32	A Dart library for accessing common Win32 APIs using FFI. No C required!	3.1.3	98.91214839856109	561	601	94	31	timsneath	sneath.org	BSD-3-Clause	2022-12-17T10:19:39.000Z
94	printing	Plugin that allows Flutter apps to generate and print documents to compatible printers on Android, iOS, macOS, Windows, and Linux, as well as web print.	5.9.3	98.89481211806007	973	949	370	117	DavBfr	nfet.net	Apache-2.0	2022-12-06T09:29:55.000Z
95	socket_io_client	Dartlang port of socket.io-client for web, flutter, dartvm to use	2.0.0	98.8818099076843	881	551	140	95	rikulo		MIT	2022-12-17T13:34:57.000Z
96	googleapis	Auto-generated client libraries for accessing Google APIs described through the API discovery service.	9.2.0	98.87747583755905	667	329	102	33	google	google.dev	BSD-3-Clause	2022-12-08T01:19:31.000Z
97	flutter_form_builder	This package helps in creation of forms in Flutter by removing the boilerplate code, reusing validation, react to changes, and collect final user input.	7.7.0	98.8731417674338	1716	1191	441	52	flutter-form-builder-ecosystem	flutterformbuilderecosystem.com	BSD-3-Clause	2022-12-15T15:22:03.000Z
98	mockito	A mock framework inspired by Mockito with APIs for Fakes, Mocks, behavior verification, and stubbing.	5.3.2	98.86447362718329	891	553	146	56	dart-lang	dart.dev	Apache-2.0	2022-12-14T21:34:39.000Z
99	event_bus	A simple Event Bus using Dart Streams for decoupling applications	2.0.0	98.85580548693278	463	697	75	0	marcojakob	jakobservices.ch	MIT	2022-03-01T17:38:59.000Z
100	pubspec_parse	Simple package for parsing pubspec.yaml files with a type-safe API and rich error reporting.	1.2.1	98.84713734668227	24	42	16	5	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-12T22:14:20.000Z
